task_label,num_train,train_input_widths,train_input_heights,train_output_widths,train_output_heights,test_input_width,test_input_height,test_output_width,test_output_height,unique_colors
6b9890af.json,3,"[21, 22, 24]","[18, 19, 21]","[8, 5, 11]","[8, 5, 11]",[26],[24],[14],[14],"[0, 1, 2, 3, 4, 8]"
6c434453.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 1, 2]"
6cdd2623.json,3,"[22, 20, 17]","[11, 13, 15]","[22, 20, 17]","[11, 13, 15]",[19],[16],[19],[16],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
6cf79266.json,3,"[20, 20, 20]","[20, 20, 20]","[20, 20, 20]","[20, 20, 20]",[20],[20],[20],[20],"[0, 1, 3, 4, 5, 7]"
6d0160f0.json,4,"[11, 11, 11, 11]","[11, 11, 11, 11]","[11, 11, 11, 11]","[11, 11, 11, 11]",[11],[11],[11],[11],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
6d0aefbc.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[6, 6, 6, 6]","[3, 3, 3, 3]",[3],[3],[6],[3],"[1, 6, 8]"
6d58a25d.json,3,"[20, 20, 20]","[20, 20, 20]","[20, 20, 20]","[20, 20, 20]",[20],[20],[20],[20],"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
6d75e8bb.json,3,"[10, 8, 8]","[14, 7, 9]","[10, 8, 8]","[14, 7, 9]",[11],[9],[11],[9],"[0, 2, 8]"
6e02f1e3.json,5,"[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]",[3],[3],[3],[3],"[0, 2, 3, 4, 5]"
6e19193c.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 7, 8, 9]"
6e82a1ae.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 5]"
6ecd11f4.json,3,"[21, 25, 22]","[27, 27, 22]","[3, 3, 4]","[3, 3, 4]",[24],[21],[4],[4],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
6f8cd79b.json,4,"[3, 3, 4, 6]","[3, 4, 5, 5]","[3, 3, 4, 6]","[3, 4, 5, 5]",[6],[7],[6],[7],"[0, 8]"
6fa7a44f.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[6, 6, 6, 6]",[3],[3],[3],[6],"[1, 2, 4, 5, 6, 7, 8, 9]"
72322fa7.json,3,"[22, 12, 19]","[13, 13, 14]","[22, 12, 19]","[13, 13, 14]",[19],[19],[19],[19],"[0, 1, 2, 3, 4, 6, 7, 8]"
72ca375d.json,3,"[10, 10, 10]","[10, 10, 10]","[4, 2, 4]","[2, 2, 2]",[10],[10],[4],[3],"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
73251a56.json,3,"[21, 21, 21]","[21, 21, 21]","[21, 21, 21]","[21, 21, 21]",[21],[21],[21],[21],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
7447852a.json,3,"[10, 15, 18]","[3, 3, 3]","[10, 15, 18]","[3, 3, 3]",[25],[3],[25],[3],"[0, 2, 4]"
7468f01a.json,3,"[15, 16, 17]","[10, 12, 15]","[8, 5, 6]","[4, 5, 4]",[17],[17],[8],[7],"[0, 1, 2, 3, 4, 6, 8]"
746b3537.json,5,"[3, 3, 5, 2, 4]","[3, 3, 3, 4, 6]","[1, 3, 4, 1, 1]","[3, 1, 1, 3, 4]",[9],[4],[5],[1],"[1, 2, 3, 4, 6, 8]"
74dd1130.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]",[3],[3],[3],[3],"[1, 2, 3, 4, 5, 6, 8, 9]"
75b8110e.json,5,"[8, 8, 8, 8, 8]","[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",[8],[8],[4],[4],"[0, 4, 5, 6, 9]"
760b3cac.json,3,"[9, 9, 9]","[6, 6, 6]","[9, 9, 9]","[6, 6, 6]",[9],[6],[9],[6],"[0, 4, 8]"
776ffc46.json,4,"[20, 20, 20, 20]","[20, 20, 20, 20]","[20, 20, 20, 20]","[20, 20, 20, 20]",[20],[20],[20],[20],"[0, 1, 2, 3, 5]"
77fdfe62.json,3,"[8, 6, 8]","[8, 6, 8]","[4, 2, 4]","[4, 2, 4]",[10],[10],[6],[6],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
780d0b14.json,3,"[20, 22, 17]","[20, 18, 23]","[2, 3, 2]","[2, 2, 3]",[28],[23],[3],[3],"[0, 1, 2, 3, 4, 6, 7, 8]"
7837ac64.json,4,"[29, 27, 29, 27]","[29, 27, 29, 27]","[3, 3, 3, 3]","[3, 3, 3, 3]",[29],[29],[3],[3],"[0, 1, 2, 3, 4, 6, 8]"
794b24be.json,10,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3]","[3, 3]","[3, 3]","[3, 3]","[0, 1, 2]"
7b6016b9.json,3,"[23, 25, 21]","[23, 22, 24]","[23, 25, 21]","[23, 22, 24]",[25],[22],[25],[22],"[0, 1, 2, 3, 4, 7, 8]"
7b7f7511.json,3,"[8, 6, 2]","[4, 3, 6]","[4, 3, 2]","[4, 3, 3]",[3],[8],[3],[4],"[1, 2, 3, 4, 5, 6, 8]"
7c008303.json,3,"[9, 9, 9]","[9, 9, 9]","[6, 6, 6]","[6, 6, 6]",[9],[9],[6],[6],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
7ddcd7ec.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 3, 4, 7, 8]"
7df24a62.json,4,"[23, 23, 23, 23]","[23, 23, 23, 23]","[23, 23, 23, 23]","[23, 23, 23, 23]",[23],[23],[23],[23],"[0, 1, 4]"
7e0986d6.json,2,"[14, 16]","[13, 13]","[14, 16]","[13, 13]",[17],[12],[17],[12],"[0, 1, 2, 3, 4, 5, 8]"
7f4411dc.json,3,"[13, 17, 7]","[13, 17, 7]","[13, 17, 7]","[13, 17, 7]",[10],[10],[10],[10],"[0, 5, 6, 7, 8]"
7fe24cdd.json,3,"[3, 3, 3]","[3, 3, 3]","[6, 6, 6]","[6, 6, 6]",[3],[3],[6],[6],"[0, 1, 2, 3, 5, 6, 8]"
80af3007.json,3,"[18, 18, 18]","[16, 16, 16]","[9, 9, 9]","[9, 9, 9]",[19],[17],[9],[9],"[0, 5]"
810b9b61.json,3,"[15, 15, 9]","[15, 15, 9]","[15, 15, 9]","[15, 15, 9]",[12],[12],[12],[12],"[0, 1, 3]"
82819916.json,4,"[8, 8, 8, 8]","[10, 10, 12, 6]","[8, 8, 8, 8]","[10, 10, 12, 6]",[10],[14],[10],[14],"[0, 1, 2, 3, 4, 5, 6, 8]"
83302e8f.json,3,"[24, 29, 19]","[24, 29, 19]","[24, 29, 19]","[24, 29, 19]",[27],[27],[27],[27],"[0, 1, 3, 4, 5, 8, 9]"
834ec97d.json,3,"[3, 5, 9]","[3, 5, 9]","[3, 5, 9]","[3, 5, 9]",[12],[12],[12],[12],"[0, 2, 3, 4, 6, 9]"
8403a5d5.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 5]"
846bdb03.json,4,"[13, 13, 13, 13]","[13, 13, 13, 13]","[8, 8, 6, 6]","[6, 7, 4, 5]",[13],[13],[8],[6],"[0, 1, 2, 3, 4, 7, 8]"
855e0971.json,4,"[19, 13, 15, 15]","[15, 14, 13, 14]","[19, 13, 15, 15]","[15, 14, 13, 14]",[15],[17],[15],[17],"[0, 1, 2, 3, 4, 5, 8]"
85c4e7cd.json,4,"[12, 6, 8, 10]","[12, 6, 8, 10]","[12, 6, 8, 10]","[12, 6, 8, 10]",[14],[14],[14],[14],"[1, 2, 3, 4, 5, 6, 7, 8]"
868de0fa.json,5,"[10, 10, 20, 11, 15]","[10, 10, 20, 11, 15]","[10, 10, 20, 11, 15]","[10, 10, 20, 11, 15]",[20],[20],[20],[20],"[0, 1, 2, 7]"
8731374e.json,3,"[23, 23, 17]","[17, 27, 16]","[6, 9, 8]","[7, 10, 6]",[17],[19],[8],[10],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
88a10436.json,3,"[9, 7, 8]","[9, 8, 10]","[9, 7, 8]","[9, 8, 10]",[11],[10],[11],[10],"[0, 1, 2, 3, 5, 6]"
88a62173.json,3,"[5, 5, 5]","[5, 5, 5]","[2, 2, 2]","[2, 2, 2]",[5],[5],[2],[2],"[0, 1, 2, 5, 8]"
890034e9.json,3,"[21, 21, 21]","[21, 21, 21]","[21, 21, 21]","[21, 21, 21]",[21],[21],[21],[21],"[0, 1, 2, 3, 4, 8]"
8a004b2b.json,3,"[17, 18, 18]","[17, 17, 16]","[14, 7, 11]","[9, 7, 11]",[18],[19],[18],[14],"[0, 1, 2, 3, 4, 8]"
8be77c9e.json,3,"[3, 3, 3]","[3, 3, 3]","[3, 3, 3]","[6, 6, 6]",[3],[3],[3],[6],"[0, 1]"
8d5021e8.json,3,"[2, 2, 2]","[3, 3, 3]","[4, 4, 4]","[9, 9, 9]",[2],[3],[4],[9],"[0, 2, 3, 5, 8]"
8d510a79.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 1, 2, 5]"
8e1813be.json,3,"[15, 10, 12]","[18, 12, 12]","[6, 3, 4]","[6, 3, 4]",[19],[19],[7],[7],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
8e5a5113.json,3,"[11, 11, 11]","[3, 3, 3]","[11, 11, 11]","[3, 3, 3]",[11],[3],[11],[3],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
8eb1be9a.json,2,"[19, 12]","[15, 10]","[19, 12]","[15, 10]",[13],[14],[13],[14],"[0, 1, 2, 8]"
8efcae92.json,3,"[20, 20, 20]","[20, 20, 20]","[6, 9, 17]","[5, 9, 5]",[20],[20],[10],[9],"[0, 1, 2]"
8f2ea7aa.json,3,"[9, 9, 9]","[9, 9, 9]","[9, 9, 9]","[9, 9, 9]",[9],[9],[9],[9],"[0, 2, 6, 7, 8]"
90c28cc7.json,3,"[21, 21, 21]","[21, 21, 21]","[3, 2, 2]","[3, 2, 3]",[21],[21],[3],[3],"[0, 1, 2, 3, 4, 5, 7, 8]"
90f3ed37.json,3,"[10, 10, 10]","[15, 15, 15]","[10, 10, 10]","[15, 15, 15]",[10],[15],[10],[15],"[0, 1, 8]"
913fb3ed.json,4,"[12, 6, 16, 6]","[12, 6, 16, 6]","[12, 6, 16, 6]","[12, 6, 16, 6]",[16],[16],[16],[16],"[0, 1, 2, 3, 4, 6, 8]"
91413438.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[12, 15, 9, 18]","[12, 15, 9, 18]",[3],[3],[21],[21],"[0, 2, 3, 4, 6, 8]"
91714a58.json,3,"[16, 16, 16]","[16, 16, 16]","[16, 16, 16]","[16, 16, 16]",[16],[16],[16],[16],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
9172f3a0.json,2,"[3, 3]","[3, 3]","[9, 9]","[9, 9]",[3],[3],[9],[9],"[0, 1, 2, 3, 4, 6, 7]"
928ad970.json,3,"[13, 13, 14]","[12, 15, 15]","[13, 13, 14]","[12, 15, 15]",[15],[15],[15],[15],"[0, 1, 3, 4, 5, 8]"
93b581b8.json,3,"[6, 6, 6]","[6, 6, 6]","[6, 6, 6]","[6, 6, 6]",[6],[6],[6],[6],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
941d9a10.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 5]"
94f9d214.json,4,"[4, 4, 4, 4]","[8, 8, 8, 8]","[4, 4, 4, 4]","[4, 4, 4, 4]",[4],[8],[4],[4],"[0, 1, 2, 3]"
952a094c.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
9565186b.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]",[3],[3],[3],[3],"[1, 2, 3, 4, 5, 8]"
95990924.json,3,"[10, 10, 15]","[10, 10, 15]","[10, 10, 15]","[10, 10, 15]",[15],[15],[15],[15],"[0, 1, 2, 3, 4, 5]"
963e52fc.json,3,"[6, 7, 8]","[5, 5, 5]","[12, 14, 16]","[5, 5, 5]",[9],[5],[18],[5],"[0, 1, 2, 3, 8]"
97999447.json,3,"[8, 12, 8]","[10, 10, 7]","[8, 12, 8]","[10, 10, 7]",[8],[9],[8],[9],"[0, 2, 3, 4, 5, 6, 8]"
97a05b5b.json,3,"[19, 10, 12]","[24, 20, 16]","[9, 8, 9]","[17, 8, 9]",[15],[19],[12],[8],"[0, 1, 2, 3, 4, 5, 8]"
98cf29f8.json,3,"[14, 18, 19]","[17, 13, 15]","[14, 18, 19]","[17, 13, 15]",[17],[12],[17],[12],"[0, 2, 3, 4, 5, 7]"
995c5fa3.json,4,"[14, 14, 14, 14]","[4, 4, 4, 4]","[3, 3, 3, 3]","[3, 3, 3, 3]",[14],[4],[3],[3],"[0, 2, 3, 4, 5, 8]"
99b1bc43.json,4,"[4, 4, 4, 4]","[9, 9, 9, 9]","[4, 4, 4, 4]","[4, 4, 4, 4]",[4],[9],[4],[4],"[0, 1, 2, 3, 4]"
99fa7670.json,4,"[6, 3, 6, 5]","[6, 3, 6, 7]","[6, 3, 6, 5]","[6, 3, 6, 7]",[8],[7],[8],[7],"[0, 2, 3, 5, 6, 7, 8]"
9aec4887.json,3,"[16, 16, 15]","[15, 14, 15]","[6, 5, 6]","[6, 5, 6]",[16],[16],[7],[7],"[0, 1, 2, 3, 4, 6, 7, 8]"
9af7a82c.json,4,"[3, 4, 3, 3]","[3, 3, 4, 4]","[3, 4, 4, 3]","[5, 6, 5, 6]",[4],[4],[5],[6],"[0, 1, 2, 3, 4, 8]"
9d9215db.json,3,"[19, 19, 19]","[19, 19, 19]","[19, 19, 19]","[19, 19, 19]",[19],[19],[19],[19],"[0, 1, 2, 3, 4, 8]"
9dfd6313.json,3,"[3, 4, 5]","[3, 4, 5]","[3, 4, 5]","[3, 4, 5]",[6],[6],[6],[6],"[0, 1, 2, 3, 4, 5, 6, 8]"
9ecd008a.json,3,"[16, 16, 16]","[16, 16, 16]","[3, 3, 3]","[3, 3, 3]",[16],[16],[3],[3],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
9edfc990.json,3,"[13, 15, 16]","[13, 15, 16]","[13, 15, 16]","[13, 15, 16]",[16],[16],[16],[16],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
9f236235.json,3,"[19, 19, 11]","[19, 19, 11]","[4, 4, 3]","[4, 4, 3]",[23],[23],[4],[4],"[0, 1, 2, 3, 4, 8]"
a1570a43.json,4,"[7, 9, 10, 8]","[7, 9, 9, 9]","[7, 9, 10, 8]","[7, 9, 9, 9]",[8],[10],[8],[10],"[0, 2, 3]"
a2fd1cf0.json,3,"[15, 16, 14]","[15, 10, 12]","[15, 16, 14]","[15, 10, 12]",[14],[12],[14],[12],"[0, 2, 3, 8]"
a3325580.json,6,"[10, 10, 10, 10, 10, 10]","[10, 10, 10, 10, 10, 10]","[3, 2, 1, 1, 2, 3]","[5, 9, 5, 3, 3, 3]",[10],[10],[3],[4],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
a3df8b1e.json,3,"[2, 3, 4]","[10, 10, 10]","[2, 3, 4]","[10, 10, 10]",[5],[10],[5],[10],"[0, 1]"
a416b8f3.json,3,"[3, 3, 4]","[3, 4, 4]","[6, 6, 8]","[3, 4, 4]",[4],[5],[8],[5],"[0, 1, 2, 3, 4, 5, 6, 8]"
a48eeaf7.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 2, 5]"
a5313dff.json,3,"[8, 8, 12]","[8, 8, 12]","[8, 8, 12]","[8, 8, 12]",[9],[9],[9],[9],"[0, 1, 2]"
a5f85a15.json,3,"[3, 8, 6]","[3, 8, 6]","[3, 8, 6]","[3, 8, 6]",[12],[12],[12],[12],"[0, 2, 3, 4, 6, 9]"
a61ba2ce.json,2,"[13, 13]","[13, 13]","[4, 4]","[4, 4]",[13],[13],[4],[4],"[0, 1, 2, 3, 4, 6, 8]"
a61f2674.json,2,"[9, 9]","[9, 9]","[9, 9]","[9, 9]",[9],[9],[9],[9],"[0, 1, 2, 5]"
a64e4611.json,3,"[30, 30, 30]","[30, 30, 30]","[30, 30, 30]","[30, 30, 30]",[30],[30],[30],[30],"[0, 1, 2, 3, 4, 8]"
a65b410d.json,3,"[7, 9, 9]","[7, 8, 7]","[7, 9, 9]","[7, 8, 7]",[9],[9],[9],[9],"[0, 1, 2, 3]"
a68b268e.json,6,"[9, 9, 9, 9, 9, 9]","[9, 9, 9, 9, 9, 9]","[4, 4, 4, 4, 4, 4]","[4, 4, 4, 4, 4, 4]",[9],[9],[4],[4],"[0, 1, 4, 6, 7, 8]"
a699fb00.json,3,"[5, 10, 10]","[5, 10, 10]","[5, 10, 10]","[5, 10, 10]",[10],[10],[10],[10],"[0, 1, 2]"
a740d043.json,3,"[7, 7, 6]","[5, 7, 7]","[3, 3, 2]","[3, 2, 3]",[6],[6],[2],[2],"[0, 1, 2, 3, 5, 6]"
a78176bb.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 1, 2, 5, 7, 9]"
a79310a0.json,3,"[5, 3, 5]","[5, 3, 5]","[5, 3, 5]","[5, 3, 5]",[5],[5],[5],[5],"[0, 2, 8]"
a85d4709.json,4,"[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]",[3],[3],[3],[3],"[0, 2, 3, 4, 5]"
a87f7484.json,4,"[3, 12, 15, 3]","[9, 3, 3, 12]","[3, 3, 3, 3]","[3, 3, 3, 3]",[3],[15],[3],[3],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
a8c38be5.json,2,"[14, 14]","[14, 16]","[9, 9]","[9, 9]",[15],[16],[9],[9],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
a8d7556c.json,3,"[18, 18, 18]","[18, 18, 18]","[18, 18, 18]","[18, 18, 18]",[18],[18],[18],[18],"[0, 2, 5]"
a9f96cdd.json,4,"[5, 5, 5, 5]","[3, 3, 3, 3]","[5, 5, 5, 5]","[3, 3, 3, 3]",[5],[3],[5],[3],"[0, 2, 3, 6, 7, 8]"
aabf363d.json,2,"[7, 7]","[7, 7]","[7, 7]","[7, 7]",[7],[7],[7],[7],"[0, 2, 3, 4, 6, 8]"
aba27056.json,3,"[7, 9, 6]","[7, 9, 6]","[7, 9, 6]","[7, 9, 6]",[10],[10],[10],[10],"[0, 2, 3, 4, 6, 7]"
ac0a08a4.json,3,"[3, 3, 3]","[3, 3, 3]","[6, 9, 15]","[6, 9, 15]",[3],[3],[12],[12],"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
ae3edfdc.json,3,"[15, 15, 15]","[15, 15, 15]","[15, 15, 15]","[15, 15, 15]",[15],[15],[15],[15],"[0, 1, 2, 3, 7]"
ae4f1146.json,4,"[9, 9, 9, 9]","[9, 9, 9, 9]","[3, 3, 3, 3]","[3, 3, 3, 3]",[9],[9],[3],[3],"[0, 1, 8]"
aedd82e4.json,4,"[3, 4, 4, 3]","[3, 4, 5, 3]","[3, 4, 4, 3]","[3, 4, 5, 3]",[4],[5],[4],[5],"[0, 1, 2]"
af902bf9.json,3,"[10, 10, 10]","[10, 10, 10]","[10, 10, 10]","[10, 10, 10]",[10],[10],[10],[10],"[0, 2, 4]"
b0c4d837.json,6,"[6, 9, 9, 9, 6, 7]","[6, 9, 9, 9, 5, 7]","[3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3]",[9],[9],[3],[3],"[0, 5, 8]"
b190f7f5.json,3,"[6, 6, 8]","[3, 3, 4]","[9, 9, 16]","[9, 9, 16]",[4],[8],[16],[16],"[0, 1, 2, 3, 4, 8]"
b1948b0a.json,3,"[4, 4, 6]","[3, 6, 3]","[4, 4, 6]","[3, 6, 3]",[4],[4],[4],[4],"[2, 6, 7]"
b230c067.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 1, 2, 8]"
b27ca6d3.json,2,"[18, 16]","[15, 15]","[18, 16]","[15, 15]",[16],[17],[16],[17],"[0, 2, 3]"
b2862040.json,4,"[11, 11, 13, 15]","[9, 12, 12, 14]","[11, 11, 13, 15]","[9, 12, 12, 14]",[15],[16],[15],[16],"[1, 8, 9]"
b527c5c6.json,4,"[10, 20, 20, 20]","[10, 20, 20, 20]","[10, 20, 20, 20]","[10, 20, 20, 20]",[20],[20],[20],[20],"[0, 2, 3]"
b548a754.json,3,"[11, 11, 12]","[11, 11, 13]","[11, 11, 12]","[11, 11, 13]",[13],[13],[13],[13],"[0, 1, 2, 3, 4, 6, 8]"
b60334d2.json,2,"[9, 9]","[9, 9]","[9, 9]","[9, 9]",[9],[9],[9],[9],"[0, 1, 5]"
b6afb2da.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 1, 2, 4, 5]"
b7249182.json,3,"[10, 13, 18]","[14, 10, 10]","[10, 13, 18]","[14, 10, 10]",[9],[19],[9],[19],"[0, 1, 2, 3, 5, 6, 7, 8]"
b775ac94.json,3,"[30, 20, 14]","[30, 20, 14]","[30, 20, 14]","[30, 20, 14]",[24],[24],[24],[24],"[0, 1, 2, 3, 4, 6, 7, 8]"
b782dc8a.json,2,"[24, 14]","[11, 13]","[24, 14]","[11, 13]",[15],[15],[15],[15],"[0, 1, 2, 3, 4, 8]"
b8825c91.json,4,"[16, 16, 16, 16]","[16, 16, 16, 16]","[16, 16, 16, 16]","[16, 16, 16, 16]",[16],[16],[16],[16],"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
b8cdaf2b.json,4,"[3, 5, 5, 7]","[3, 5, 5, 7]","[3, 5, 5, 7]","[3, 5, 5, 7]",[9],[9],[9],[9],"[0, 1, 2, 3, 4, 6, 8]"
b91ae062.json,5,"[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[6, 6, 9, 9, 12]","[6, 6, 9, 9, 12]",[3],[3],[12],[12],"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
b94a9452.json,3,"[13, 11, 13]","[12, 12, 12]","[4, 3, 5]","[4, 3, 5]",[13],[14],[6],[6],"[0, 1, 2, 3, 4, 6, 8]"
b9b7f026.json,3,"[13, 17, 17]","[15, 15, 16]","[1, 1, 1]","[1, 1, 1]",[15],[14],[1],[1],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
ba26e723.json,5,"[10, 11, 11, 13, 14]","[3, 3, 3, 3, 3]","[10, 11, 11, 13, 14]","[3, 3, 3, 3, 3]",[17],[3],[17],[3],"[0, 4, 6]"
ba97ae07.json,4,"[13, 9, 7, 6]","[13, 7, 8, 8]","[13, 9, 7, 6]","[13, 7, 8, 8]",[6],[11],[6],[11],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
bb43febb.json,2,"[10, 10]","[10, 10]","[10, 10]","[10, 10]",[10],[10],[10],[10],"[0, 2, 5]"
bbc9ae5d.json,5,"[6, 8, 10, 6, 6]","[1, 1, 1, 1, 1]","[6, 8, 10, 6, 6]","[3, 4, 5, 3, 3]",[12],[1],[12],[6],"[0, 1, 2, 5, 7, 8]"
bc1d5164.json,5,"[7, 7, 7, 7, 7]","[5, 5, 5, 5, 5]","[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]",[7],[5],[3],[3],"[0, 1, 2, 3, 4, 8]"
bd4472b8.json,3,"[3, 4, 2]","[8, 10, 6]","[3, 4, 2]","[8, 10, 6]",[5],[12],[5],[12],"[0, 1, 2, 3, 4, 5, 8]"
bda2d7a6.json,3,"[6, 6, 8]","[6, 6, 8]","[6, 6, 8]","[6, 6, 8]","[6, 8]","[6, 8]","[6, 8]","[6, 8]","[0, 1, 2, 3, 5, 6, 7, 8, 9]"
bdad9b1f.json,2,"[6, 6]","[6, 6]","[6, 6]","[6, 6]",[6],[6],[6],[6],"[0, 2, 4, 8]"
be94b721.json,4,"[13, 10, 11, 9]","[7, 5, 6, 7]","[3, 2, 3, 3]","[4, 3, 4, 3]",[9],[9],[3],[4],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
beb8660c.json,3,"[7, 4, 3]","[10, 7, 3]","[7, 4, 3]","[10, 7, 3]",[8],[11],[8],[11],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
c0f76784.json,3,"[12, 12, 12]","[12, 12, 12]","[12, 12, 12]","[12, 12, 12]",[12],[12],[12],[12],"[0, 5, 6, 7, 8]"
c1d99e64.json,3,"[19, 14, 15]","[12, 12, 17]","[19, 14, 15]","[12, 12, 17]",[25],[27],[25],[27],"[0, 1, 2, 3, 4, 8]"
c3e719e8.json,3,"[3, 3, 3]","[3, 3, 3]","[9, 9, 9]","[9, 9, 9]",[3],[3],[9],[9],"[0, 1, 3, 4, 5, 6, 7, 8, 9]"
c3f564a4.json,3,"[16, 16, 16]","[16, 16, 16]","[16, 16, 16]","[16, 16, 16]",[16],[16],[16],[16],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
c444b776.json,2,"[19, 9]","[19, 19]","[19, 9]","[19, 19]",[29],[19],[29],[19],"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
c59eb873.json,3,"[3, 2, 4]","[3, 2, 4]","[6, 4, 8]","[6, 4, 8]",[5],[5],[10],[10],"[0, 1, 2, 3, 5, 6, 7, 8]"
c8cbb738.json,3,"[11, 8, 14]","[12, 10, 12]","[5, 3, 5]","[5, 3, 5]",[19],[18],[7],[7],"[1, 2, 3, 4, 6, 7, 8]"
c8f0f002.json,3,"[6, 4, 5]","[3, 3, 3]","[6, 4, 5]","[3, 3, 3]",[5],[3],[5],[3],"[1, 5, 7, 8]"
c909285e.json,3,"[24, 26, 28]","[24, 26, 28]","[7, 7, 7]","[7, 7, 7]",[24],[24],[6],[6],"[0, 1, 2, 3, 4, 5, 6, 8]"
c9e6f938.json,3,"[3, 3, 3]","[3, 3, 3]","[6, 6, 6]","[3, 3, 3]",[3],[3],[6],[3],"[0, 7]"
c9f8e694.json,2,"[12, 12]","[12, 12]","[12, 12]","[12, 12]",[12],[12],[12],[12],"[0, 1, 2, 3, 4, 5, 7, 8]"
caa06a1f.json,3,"[11, 8, 6]","[11, 8, 6]","[11, 8, 6]","[11, 8, 6]",[18],[18],[18],[18],"[1, 3, 4, 5, 6, 7, 8]"
cbded52d.json,3,"[8, 8, 8]","[8, 8, 8]","[8, 8, 8]","[8, 8, 8]",[8],[8],[8],[8],"[0, 1, 2, 3, 4, 6, 7, 8]"
cce03e0d.json,3,"[3, 3, 3]","[3, 3, 3]","[9, 9, 9]","[9, 9, 9]",[3],[3],[9],[9],"[0, 1, 2]"
